|dates|Rich_Utah_UnitedStates.JHU_ConfirmedCases.data|Rich_Utah_UnitedStates.JHU_ConfirmedCases.missing|Rich_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Rich_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Rich_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Rich_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|5792.0|0|63.0|0|0.0|0
0|2020-05-25|5792.0|0|63.0|0|0.0|0
0|2020-05-26|5792.0|0|63.0|0|0.0|0
