|dates|Pinellas_Florida_UnitedStates.JHU_ConfirmedCases.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedCases.missing|Pinellas_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Pinellas_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Pinellas_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1022.0|0|67.0|0|0.0|0
0|2020-05-18|1051.0|0|68.0|0|0.0|0
0|2020-05-19|1062.0|0|71.0|0|0.0|0
0|2020-05-20|1075.0|0|72.0|0|0.0|0
0|2020-05-21|1109.0|0|73.0|0|0.0|0
0|2020-05-22|1116.0|0|73.0|0|0.0|0
0|2020-05-23|1116.0|0|73.0|0|0.0|0
