|dates|Peach_Georgia_UnitedStates.JHU_ConfirmedCases.data|Peach_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Peach_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Peach_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Peach_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Peach_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|69.0|0|2.0|0|0.0|0
0|2020-05-15|71.0|0|2.0|0|0.0|0
0|2020-05-16|71.0|0|2.0|0|0.0|0
