|dates|Washington_Virginia_UnitedStates.JHU_ConfirmedCases.data|Washington_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Washington_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|49.0|0|3.0|0|0.0|0
0|2020-05-18|49.0|0|3.0|0|0.0|0
0|2020-05-19|50.0|0|4.0|0|0.0|0
0|2020-05-20|50.0|0|4.0|0|0.0|0
0|2020-05-21|51.0|0|4.0|0|0.0|0
0|2020-05-22|51.0|0|4.0|0|0.0|0
0|2020-05-23|51.0|0|4.0|0|0.0|0
