|dates|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|634.0|0|1.0|0|0.0|0
0|2020-05-25|639.0|0|1.0|0|0.0|0
0|2020-05-26|639.0|0|1.0|0|0.0|0
