|dates|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|220.0|0|26.0|0|0.0|0
0|2020-05-15|242.0|0|27.0|0|0.0|0
0|2020-05-16|242.0|0|27.0|0|0.0|0
