|dates|Randall_Texas_UnitedStates.JHU_ConfirmedCases.data|Randall_Texas_UnitedStates.JHU_ConfirmedCases.missing|Randall_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Randall_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Randall_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Randall_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|602.0|0|4.0|0|0.0|0
0|2020-05-18|602.0|0|4.0|0|0.0|0
0|2020-05-19|611.0|0|5.0|0|0.0|0
0|2020-05-20|616.0|0|5.0|0|0.0|0
0|2020-05-21|625.0|0|5.0|0|0.0|0
0|2020-05-22|625.0|0|5.0|0|0.0|0
0|2020-05-23|625.0|0|5.0|0|0.0|0
