|dates|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Ozaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|122.0|0|11.0|0|0.0|0
0|2020-05-18|122.0|0|11.0|0|0.0|0
0|2020-05-19|125.0|0|11.0|0|0.0|0
0|2020-05-20|130.0|0|11.0|0|0.0|0
0|2020-05-21|131.0|0|11.0|0|0.0|0
0|2020-05-22|133.0|0|11.0|0|0.0|0
0|2020-05-23|133.0|0|11.0|0|0.0|0
