|dates|SanJuan_Utah_UnitedStates.JHU_ConfirmedCases.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedCases.missing|SanJuan_Utah_UnitedStates.JHU_ConfirmedDeaths.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|SanJuan_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|264.0|0|4.0|0|0.0|0
0|2020-05-25|268.0|0|4.0|0|0.0|0
0|2020-05-26|268.0|0|4.0|0|0.0|0
