|dates|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|33.0|0|1.0|0|0.0|0
0|2020-05-18|33.0|0|1.0|0|0.0|0
0|2020-05-19|34.0|0|1.0|0|0.0|0
0|2020-05-20|35.0|0|1.0|0|0.0|0
0|2020-05-21|35.0|0|1.0|0|0.0|0
0|2020-05-22|36.0|0|1.0|0|0.0|0
0|2020-05-23|36.0|0|1.0|0|0.0|0
