|dates|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedCases.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|ColonialHeights_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|76.0|0|7.0|0|0.0|0
0|2020-05-18|76.0|0|7.0|0|0.0|0
0|2020-05-19|77.0|0|7.0|0|0.0|0
0|2020-05-20|80.0|0|7.0|0|0.0|0
0|2020-05-21|82.0|0|7.0|0|0.0|0
0|2020-05-22|83.0|0|8.0|0|0.0|0
0|2020-05-23|83.0|0|8.0|0|0.0|0
