|dates|Alger_Michigan_UnitedStates.JHU_ConfirmedCases.data|Alger_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Alger_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Alger_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Alger_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Alger_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|44451.0|0|4183.0|0|0.0|0
0|2020-05-25|44451.0|0|4183.0|0|0.0|0
0|2020-05-26|44451.0|0|4183.0|0|0.0|0
