|dates|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|15.0|0|0.0|0|0.0|0
0|2020-05-25|17.0|0|0.0|0|0.0|0
0|2020-05-26|17.0|0|0.0|0|0.0|0
