|dates|VanBuren_Michigan_UnitedStates.JHU_ConfirmedCases.data|VanBuren_Michigan_UnitedStates.JHU_ConfirmedCases.missing|VanBuren_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|VanBuren_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|VanBuren_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|VanBuren_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|100.0|0|5.0|0|0.0|0
0|2020-05-15|106.0|0|5.0|0|0.0|0
0|2020-05-16|106.0|0|5.0|0|0.0|0
