|dates|Pike_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Pike_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Pike_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|28.0|0|2.0|0|0.0|0
0|2020-05-28|28.0|0|2.0|0|0.0|0
0|2020-05-29|28.0|0|2.0|0|0.0|0
0|2020-05-30|28.0|0|2.0|0|0.0|0
