|dates|Collier_Florida_UnitedStates.JHU_ConfirmedCases.data|Collier_Florida_UnitedStates.JHU_ConfirmedCases.missing|Collier_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Collier_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Collier_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Collier_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|948.0|0|37.0|0|0.0|0
0|2020-05-18|1006.0|0|37.0|0|0.0|0
0|2020-05-19|1030.0|0|40.0|0|0.0|0
0|2020-05-20|1058.0|0|40.0|0|0.0|0
0|2020-05-21|1112.0|0|41.0|0|0.0|0
0|2020-05-22|1160.0|0|42.0|0|0.0|0
0|2020-05-23|1160.0|0|42.0|0|0.0|0
