|dates|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedCases.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedCases.missing|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|ManassasPark_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|187.0|0|3.0|0|0.0|0
0|2020-05-18|198.0|0|3.0|0|0.0|0
0|2020-05-19|202.0|0|3.0|0|0.0|0
0|2020-05-20|207.0|0|3.0|0|0.0|0
0|2020-05-21|223.0|0|3.0|0|0.0|0
0|2020-05-22|228.0|0|4.0|0|0.0|0
0|2020-05-23|228.0|0|4.0|0|0.0|0
