|dates|Bay_Florida_UnitedStates.JHU_ConfirmedCases.data|Bay_Florida_UnitedStates.JHU_ConfirmedCases.missing|Bay_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Bay_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Bay_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Bay_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|84.0|0|3.0|0|0.0|0
0|2020-05-18|85.0|0|3.0|0|0.0|0
0|2020-05-19|86.0|0|3.0|0|0.0|0
0|2020-05-20|86.0|0|3.0|0|0.0|0
0|2020-05-21|87.0|0|3.0|0|0.0|0
0|2020-05-22|92.0|0|3.0|0|0.0|0
0|2020-05-23|92.0|0|3.0|0|0.0|0
