|dates|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Bladen_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|94.0|0|2.0|0|0.0|0
0|2020-05-28|94.0|0|2.0|0|0.0|0
0|2020-05-29|94.0|0|2.0|0|0.0|0
0|2020-05-30|94.0|0|2.0|0|0.0|0
