|dates|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedCases.data|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Mecklenburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|167.0|0|16.0|0|0.0|0
0|2020-05-18|169.0|0|16.0|0|0.0|0
0|2020-05-19|178.0|0|17.0|0|0.0|0
0|2020-05-20|178.0|0|19.0|0|0.0|0
0|2020-05-21|185.0|0|20.0|0|0.0|0
0|2020-05-22|192.0|0|20.0|0|0.0|0
0|2020-05-23|192.0|0|20.0|0|0.0|0
