|dates|Wright_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Wright_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Wright_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Wright_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|162.0|0|1.0|0|0.0|0
0|2020-05-18|172.0|0|1.0|0|0.0|0
0|2020-05-19|182.0|0|1.0|0|0.0|0
0|2020-05-20|198.0|0|1.0|0|0.0|0
0|2020-05-21|200.0|0|1.0|0|0.0|0
0|2020-05-22|213.0|0|2.0|0|0.0|0
0|2020-05-23|213.0|0|2.0|0|0.0|0
