|dates|Dickinson_Kansas_UnitedStates.JHU_ConfirmedCases.data|Dickinson_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Dickinson_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Dickinson_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Dickinson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Dickinson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2.0|0|0.0|0|0.0|0
0|2020-05-18|2.0|0|0.0|0|0.0|0
0|2020-05-19|2.0|0|0.0|0|0.0|0
0|2020-05-20|2.0|0|0.0|0|0.0|0
0|2020-05-21|2.0|0|0.0|0|0.0|0
0|2020-05-22|4.0|0|0.0|0|0.0|0
0|2020-05-23|4.0|0|0.0|0|0.0|0
