|dates|Whitley_Indiana_UnitedStates.JHU_ConfirmedCases.data|Whitley_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Whitley_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Whitley_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Whitley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Whitley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|41.0|0|2.0|0|0.0|0
0|2020-05-28|41.0|0|2.0|0|0.0|0
0|2020-05-29|41.0|0|2.0|0|0.0|0
0|2020-05-30|41.0|0|2.0|0|0.0|0
