|dates|Coconino_Arizona_UnitedStates.JHU_ConfirmedCases.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Coconino_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Coconino_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Coconino_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|795.0|0|59.0|0|0.0|0
0|2020-05-15|823.0|0|62.0|0|0.0|0
0|2020-05-16|823.0|0|62.0|0|0.0|0
