|dates|Todd_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Todd_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Todd_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Todd_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Todd_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Todd_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|15.0|0|0.0|0|0.0|0
0|2020-05-15|17.0|0|0.0|0|0.0|0
0|2020-05-16|17.0|0|0.0|0|0.0|0
