|dates|Hale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Hale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Hale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Hale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Hale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Hale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|85.0|0|2.0|0|0.0|0
0|2020-05-18|91.0|0|2.0|0|0.0|0
0|2020-05-19|96.0|0|2.0|0|0.0|0
0|2020-05-20|106.0|0|2.0|0|0.0|0
0|2020-05-21|110.0|0|3.0|0|0.0|0
0|2020-05-22|119.0|0|3.0|0|0.0|0
0|2020-05-23|119.0|0|3.0|0|0.0|0
