|dates|Jefferson_Texas_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|506.0|0|27.0|0|0.0|0
0|2020-05-28|506.0|0|27.0|0|0.0|0
0|2020-05-29|506.0|0|27.0|0|0.0|0
0|2020-05-30|506.0|0|27.0|0|0.0|0
