|dates|Madison_Texas_UnitedStates.JHU_ConfirmedCases.data|Madison_Texas_UnitedStates.JHU_ConfirmedCases.missing|Madison_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|4.0|0|0.0|0|0.0|0
0|2020-05-15|6.0|0|0.0|0|0.0|0
0|2020-05-16|6.0|0|0.0|0|0.0|0
