|dates|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Hall_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|1472.0|0|39.0|0|0.0|0
0|2020-05-28|1472.0|0|39.0|0|0.0|0
0|2020-05-29|1472.0|0|39.0|0|0.0|0
0|2020-05-30|1472.0|0|39.0|0|0.0|0
