|dates|Broome_NewYork_UnitedStates.JHU_ConfirmedCases.data|Broome_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Broome_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Broome_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Broome_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Broome_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|528.0|0|44.0|0|0.0|0
0|2020-05-28|528.0|0|44.0|0|0.0|0
0|2020-05-29|528.0|0|44.0|0|0.0|0
0|2020-05-30|528.0|0|44.0|0|0.0|0
