|dates|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.data|Greene_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|57.0|0|5.0|0|0.0|0
0|2020-05-15|57.0|0|6.0|0|0.0|0
0|2020-05-16|57.0|0|6.0|0|0.0|0
