|dates|Fresno_California_UnitedStates.JHU_ConfirmedCases.data|Fresno_California_UnitedStates.JHU_ConfirmedCases.missing|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.data|Fresno_California_UnitedStates.JHU_ConfirmedDeaths.missing|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.data|Fresno_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1448.0|0|22.0|0|0.0|0
0|2020-05-25|1482.0|0|22.0|0|0.0|0
0|2020-05-26|1482.0|0|22.0|0|0.0|0
