|dates|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedCases.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|97.0|0|1.0|0|0.0|0
0|2020-05-28|97.0|0|1.0|0|0.0|0
0|2020-05-29|97.0|0|1.0|0|0.0|0
0|2020-05-30|97.0|0|1.0|0|0.0|0
