|dates|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|952.0|0|91.0|0|0.0|0
0|2020-05-15|959.0|0|93.0|0|0.0|0
0|2020-05-16|959.0|0|93.0|0|0.0|0
