|dates|Sussex_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Sussex_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Sussex_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Sussex_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Sussex_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Sussex_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1060.0|0|138.0|0|0.0|0
0|2020-05-18|1061.0|0|138.0|0|0.0|0
0|2020-05-19|1065.0|0|139.0|0|0.0|0
0|2020-05-20|1069.0|0|140.0|0|0.0|0
0|2020-05-21|1077.0|0|140.0|0|0.0|0
0|2020-05-22|1075.0|0|141.0|0|0.0|0
0|2020-05-23|1075.0|0|141.0|0|0.0|0
