|dates|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|LeFlore_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|13.0|0|1.0|0|0.0|0
0|2020-05-25|14.0|0|1.0|0|0.0|0
0|2020-05-26|14.0|0|1.0|0|0.0|0
