|dates|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Davie_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|46.0|0|2.0|0|0.0|0
0|2020-05-18|46.0|0|2.0|0|0.0|0
0|2020-05-19|46.0|0|2.0|0|0.0|0
0|2020-05-20|55.0|0|2.0|0|0.0|0
0|2020-05-21|55.0|0|2.0|0|0.0|0
0|2020-05-22|62.0|0|2.0|0|0.0|0
0|2020-05-23|62.0|0|2.0|0|0.0|0
