|dates|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedCases.data|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedCases.missing|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|CarsonCity_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|71.0|0|2.0|0|0.0|0
0|2020-05-18|71.0|0|3.0|0|0.0|0
0|2020-05-19|75.0|0|3.0|0|0.0|0
0|2020-05-20|77.0|0|3.0|0|0.0|0
0|2020-05-21|81.0|0|3.0|0|0.0|0
0|2020-05-22|83.0|0|4.0|0|0.0|0
0|2020-05-23|83.0|0|4.0|0|0.0|0
