|dates|Grant_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Grant_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|26.0|0|1.0|0|0.0|0
0|2020-05-25|27.0|0|1.0|0|0.0|0
0|2020-05-26|27.0|0|1.0|0|0.0|0
