|dates|Ware_Georgia_UnitedStates.JHU_ConfirmedCases.data|Ware_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Ware_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Ware_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Ware_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Ware_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|209.0|0|13.0|0|0.0|0
0|2020-05-25|218.0|0|14.0|0|0.0|0
0|2020-05-26|218.0|0|14.0|0|0.0|0
