|dates|Fayette_Illinois_UnitedStates.JHU_ConfirmedCases.data|Fayette_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|17.0|0|2.0|0|0.0|0
0|2020-05-15|19.0|0|2.0|0|0.0|0
0|2020-05-16|19.0|0|2.0|0|0.0|0
