|dates|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Lyman_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|13.0|0|0.0|0|0.0|0
0|2020-05-28|13.0|0|0.0|0|0.0|0
0|2020-05-29|13.0|0|0.0|0|0.0|0
0|2020-05-30|13.0|0|0.0|0|0.0|0
