|dates|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedCases.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Kosciusko_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|56.0|0|1.0|0|0.0|0
0|2020-05-18|58.0|0|1.0|0|0.0|0
0|2020-05-19|60.0|0|1.0|0|0.0|0
0|2020-05-20|60.0|0|1.0|0|0.0|0
0|2020-05-21|61.0|0|1.0|0|0.0|0
0|2020-05-22|71.0|0|1.0|0|0.0|0
0|2020-05-23|71.0|0|1.0|0|0.0|0
