|dates|Bradley_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Bradley_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Bradley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Bradley_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Bradley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Bradley_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|12.0|0|1.0|0|0.0|0
0|2020-05-15|13.0|0|1.0|0|0.0|0
0|2020-05-16|13.0|0|1.0|0|0.0|0
