|dates|Allen_Ohio_UnitedStates.JHU_ConfirmedCases.data|Allen_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Allen_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Allen_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Allen_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Allen_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|167.0|0|30.0|0|0.0|0
0|2020-05-18|168.0|0|30.0|0|0.0|0
0|2020-05-19|171.0|0|30.0|0|0.0|0
0|2020-05-20|172.0|0|30.0|0|0.0|0
0|2020-05-21|176.0|0|31.0|0|0.0|0
0|2020-05-22|178.0|0|31.0|0|0.0|0
0|2020-05-23|178.0|0|31.0|0|0.0|0
