|dates|Gogebic_Michigan_UnitedStates.JHU_ConfirmedCases.data|Gogebic_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Gogebic_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Gogebic_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Gogebic_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Gogebic_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|4.0|0|1.0|0|0.0|0
0|2020-05-15|4.0|0|1.0|0|0.0|0
0|2020-05-16|4.0|0|1.0|0|0.0|0
