|dates|Crawford_Kansas_UnitedStates.JHU_ConfirmedCases.data|Crawford_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Crawford_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Crawford_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Crawford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Crawford_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|8.0|0|1.0|0|0.0|0
0|2020-05-25|8.0|0|1.0|0|0.0|0
0|2020-05-26|8.0|0|1.0|0|0.0|0
