|dates|Haywood_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Haywood_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Haywood_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|29.0|0|1.0|0|0.0|0
0|2020-05-15|29.0|0|1.0|0|0.0|0
0|2020-05-16|29.0|0|1.0|0|0.0|0
