|dates|Carroll_Ohio_UnitedStates.JHU_ConfirmedCases.data|Carroll_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|28.0|0|2.0|0|0.0|0
0|2020-05-25|28.0|0|2.0|0|0.0|0
0|2020-05-26|28.0|0|2.0|0|0.0|0
