|dates|Chelan_Washington_UnitedStates.JHU_ConfirmedCases.data|Chelan_Washington_UnitedStates.JHU_ConfirmedCases.missing|Chelan_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Chelan_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Chelan_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Chelan_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|229.0|0|6.0|0|0.0|0
0|2020-05-25|231.0|0|6.0|0|0.0|0
0|2020-05-26|231.0|0|6.0|0|0.0|0
