|dates|Knox_Maine_UnitedStates.JHU_ConfirmedCases.data|Knox_Maine_UnitedStates.JHU_ConfirmedCases.missing|Knox_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Knox_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Knox_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Knox_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|19.0|0|0.0|0|0.0|0
0|2020-05-15|21.0|0|0.0|0|0.0|0
0|2020-05-16|21.0|0|0.0|0|0.0|0
