|dates|Yell_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Yell_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Yell_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Yell_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Yell_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Yell_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|1.0|0|0.0|0
0|2020-05-18|28.0|0|1.0|0|0.0|0
0|2020-05-19|30.0|0|1.0|0|0.0|0
0|2020-05-20|38.0|0|1.0|0|0.0|0
0|2020-05-21|73.0|0|1.0|0|0.0|0
0|2020-05-22|76.0|0|1.0|0|0.0|0
0|2020-05-23|76.0|0|1.0|0|0.0|0
