|dates|Charlotte_Virginia_UnitedStates.JHU_ConfirmedCases.data|Charlotte_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Charlotte_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Charlotte_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Charlotte_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Charlotte_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|11.0|0|0.0|0|0.0|0
0|2020-05-18|14.0|0|0.0|0|0.0|0
0|2020-05-19|14.0|0|0.0|0|0.0|0
0|2020-05-20|15.0|0|0.0|0|0.0|0
0|2020-05-21|16.0|0|0.0|0|0.0|0
0|2020-05-22|19.0|0|0.0|0|0.0|0
0|2020-05-23|19.0|0|0.0|0|0.0|0
