|dates|Delaware_Indiana_UnitedStates.JHU_ConfirmedCases.data|Delaware_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|277.0|0|22.0|0|0.0|0
0|2020-05-18|296.0|0|23.0|0|0.0|0
0|2020-05-19|297.0|0|23.0|0|0.0|0
0|2020-05-20|297.0|0|24.0|0|0.0|0
0|2020-05-21|319.0|0|25.0|0|0.0|0
0|2020-05-22|328.0|0|26.0|0|0.0|0
0|2020-05-23|328.0|0|26.0|0|0.0|0
