|dates|St.Clair_Illinois_UnitedStates.JHU_ConfirmedCases.data|St.Clair_Illinois_UnitedStates.JHU_ConfirmedCases.missing|St.Clair_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|St.Clair_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|St.Clair_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|St.Clair_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|805.0|0|65.0|0|0.0|0
0|2020-05-18|815.0|0|66.0|0|0.0|0
0|2020-05-19|832.0|0|69.0|0|0.0|0
0|2020-05-20|858.0|0|69.0|0|0.0|0
0|2020-05-21|888.0|0|69.0|0|0.0|0
0|2020-05-22|907.0|0|70.0|0|0.0|0
0|2020-05-23|907.0|0|70.0|0|0.0|0
