|dates|Wilbarger_Texas_UnitedStates.JHU_ConfirmedCases.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wilbarger_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wilbarger_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|5.0|0|0.0|0|0.0|0
0|2020-05-16|5.0|0|0.0|0|0.0|0
