|dates|Kent_Michigan_UnitedStates.JHU_ConfirmedCases.data|Kent_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Kent_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Kent_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2825.0|0|55.0|0|0.0|0
0|2020-05-18|2868.0|0|56.0|0|0.0|0
0|2020-05-19|2934.0|0|58.0|0|0.0|0
0|2020-05-20|3036.0|0|60.0|0|0.0|0
0|2020-05-21|3145.0|0|62.0|0|0.0|0
0|2020-05-22|3231.0|0|65.0|0|0.0|0
0|2020-05-23|3231.0|0|65.0|0|0.0|0
