|dates|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|St.Francis_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|341.0|0|0.0|0|0.0|0
0|2020-05-18|349.0|0|0.0|0|0.0|0
0|2020-05-19|362.0|0|0.0|0|0.0|0
0|2020-05-20|365.0|0|0.0|0|0.0|0
0|2020-05-21|600.0|0|0.0|0|0.0|0
0|2020-05-22|621.0|0|1.0|0|0.0|0
0|2020-05-23|621.0|0|1.0|0|0.0|0
