|dates|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Canadian_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|117.0|0|3.0|0|0.0|0
0|2020-05-18|118.0|0|3.0|0|0.0|0
0|2020-05-19|120.0|0|3.0|0|0.0|0
0|2020-05-20|120.0|0|3.0|0|0.0|0
0|2020-05-21|122.0|0|3.0|0|0.0|0
0|2020-05-22|123.0|0|3.0|0|0.0|0
0|2020-05-23|123.0|0|3.0|0|0.0|0
