|dates|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedCases.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|373.0|0|9.0|0|0.0|0
0|2020-05-15|373.0|0|9.0|0|0.0|0
0|2020-05-16|373.0|0|9.0|0|0.0|0
