|dates|Pickaway_Ohio_UnitedStates.JHU_ConfirmedCases.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Pickaway_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Pickaway_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|2018.0|0|25.0|0|0.0|0
0|2020-05-18|2021.0|0|25.0|0|0.0|0
0|2020-05-19|2025.0|0|31.0|0|0.0|0
0|2020-05-20|2029.0|0|32.0|0|0.0|0
0|2020-05-21|2031.0|0|32.0|0|0.0|0
0|2020-05-22|2033.0|0|32.0|0|0.0|0
0|2020-05-23|2033.0|0|32.0|0|0.0|0
