|dates|Delta_Michigan_UnitedStates.JHU_ConfirmedCases.data|Delta_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Delta_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Delta_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Delta_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Delta_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|14.0|0|2.0|0|0.0|0
0|2020-05-15|14.0|0|2.0|0|0.0|0
0|2020-05-16|14.0|0|2.0|0|0.0|0
