|dates|Oldham_Texas_UnitedStates.JHU_ConfirmedCases.data|Oldham_Texas_UnitedStates.JHU_ConfirmedCases.missing|Oldham_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Oldham_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Oldham_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Oldham_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|4.0|0|1.0|0|0.0|0
0|2020-05-18|4.0|0|1.0|0|0.0|0
0|2020-05-19|3.0|0|1.0|0|0.0|0
0|2020-05-20|3.0|0|1.0|0|0.0|0
0|2020-05-21|3.0|0|1.0|0|0.0|0
0|2020-05-22|3.0|0|1.0|0|0.0|0
0|2020-05-23|3.0|0|1.0|0|0.0|0
