|dates|Randolph_Indiana_UnitedStates.JHU_ConfirmedCases.data|Randolph_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Randolph_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Randolph_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Randolph_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Randolph_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|27.0|0|3.0|0|0.0|0
0|2020-05-15|29.0|0|3.0|0|0.0|0
0|2020-05-16|29.0|0|3.0|0|0.0|0
